TABLE_NAME,CONSTRAINT_NAME,COLUMN_NAME,KEY_ORDINAL
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,DEMAND_LOT_ID,3
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,DEMAND_SPLIT_ID,4
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,DEMAND_SUB_ID,5
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,DEMAND_SEQ_NO,6
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,DEMAND_NO,7
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,SUPPLY_TYPE,8
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,SUPPLY_BASE_ID,9
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,SUPPLY_LOT_ID,10
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,SUPPLY_SPLIT_ID,11
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,SUPPLY_SUB_ID,12
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,SUPPLY_SEQ_NO,13
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,SUPPLY_NO,14
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_1,SUPPLY_PART_ID,15
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_3,SUPPLY_TYPE,1
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_3,SUPPLY_BASE_ID,2
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_3,SUPPLY_LOT_ID,3
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_3,SUPPLY_SPLIT_ID,4
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_3,SUPPLY_SUB_ID,5
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_3,SUPPLY_SEQ_NO,6
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_3,SUPPLY_NO,7
DEMAND_SUPPLY_LINK,X_DEMAND_SUPPLY_3,ID,8
DOCUMENT_REF_EAC,X_DOC_REF_EAC_0,PROJECT_ID,1
DOCUMENT_REF_EAC,X_DOC_REF_EAC_0,EAC_VERSION,2
DOCUMENT_REF_EAC,X_DOC_REF_EAC_0,DOCUMENT_ID,3
E_BACKLOG_SUM,EX_BACKLOG_SUM,eis_date,1
E_BOOK_SUM,EX_BOOK_SUM,eis_date,1
E_ESTIM_SUM,EX_ESTIM_SUM,eis_date,1
E_FACTLOAD_SUM,EX_FACTLOAD_SUM,eis_date,1
E_JOBCOMP_SUM,EX_JOBCOMP_SUM,eis_date,1
E_JOBSTARTS_SUM,EX_JOBSTARTS_SUM,eis_date,1
E_LATE_SUM,EX_LATE_SUM,eis_date,1
E_LATEJOB_SUM,EX_LATEJOB_SUM,eis_date,1
E_OPENJOB_SUM,EX_OPENJOB_SUM,eis_date,1
E_OPENOPS_SUM,EX_OPENOPS_SUM,eis_date,1
E_OPSCOMPL_SUM,EX_OPSCOMPL_SUM,eis_date,1
E_OPSSTARTS_SUM,EX_OPSSTARTS_SUM,eis_date,1
E_OPSSVLV_SUM,EX_OPSSVLV_SUM,eis_date,1
E_PAYABLE_SUM,EX_PAYABLE_SUM,eis_date,1
E_PAYB_INV_SUM,EX_PAYB_INV_SUM,eis_date,1
E_PAYB_NEW_SUM,EX_PAYB_NEW_SUM,eis_date,1
E_PROFORMA_SUM,EX_PROFORMA_SUM,eis_date,1
E_PURCBACK_SUM,EX_PURCBACK_SUM,eis_date,1
E_PURCLATE_SUM,EX_PURCLATE_SUM,eis_date,1
E_PURCOPEN_SUM,EX_PURCOPEN_SUM,eis_date,1
E_PURCORD_SUM,EX_PURCORD_SUM,eis_date,1
E_PURCRECV_SUM,EX_PURCRECV_SUM,eis_date,1
E_PURCSVLV_SUM,EX_PURCSVLV_SUM,eis_date,1
E_RECEIVABLE_SUM,EX_RECEIVABLE_SUM,eis_date,1
E_RECV_INV_SUM,EX_RECV_INV_SUM,eis_date,1
E_RECV_NEW_SUM,EX_RECV_NEW_SUM,eis_date,1
E_SCHEDSVLV_SUM,EX_SCHEDSVLV_SUM,eis_date,1
E_SHIP_SUM,EX_SHIP_SUM,eis_date,1
E_WANTSVLV_SUM,EX_WANTSVLV_SUM,eis_date,1
EC,X_EC_1,ORIGINATOR,1
EC,X_EC_1,ID,2
EC,X_EC_2,ASSIGNED_TO,1
EC,X_EC_2,ID,2
EC,X_EC_3,WANT_DATE,1
EC,X_EC_3,ID,2
EC_LINE,X_EC_LINE_1,EC_ID,1
EC_LINE,X_EC_LINE_1,TYPE,2
EC_LINE,X_EC_LINE_1,LINE_NO,3
EC_LINE,X_EC_LINE_2,EC_ID,1
EC_LINE,X_EC_LINE_2,WO_TYPE,2
EC_LINE,X_EC_LINE_2,WO_BASE_ID,3
EC_LINE,X_EC_LINE_2,WO_LOT_ID,4
EC_LINE,X_EC_LINE_2,WO_SPLIT_ID,5
EC_LINE,X_EC_LINE_2,LINE_NO,6
EC_LINE,X_EC_LINE_3,EC_ID,1
EC_LINE,X_EC_LINE_3,PART_ID,2
EC_LINE,X_EC_LINE_3,LINE_NO,3
EC_LINE,X_EC_LINE_4,EC_ID,1
EC_LINE,X_EC_LINE_4,DOC_ID,2
EC_LINE,X_EC_LINE_4,LINE_NO,3
EC_LINE,X_EC_LINE_5,EC_ID,1
EC_LINE,X_EC_LINE_5,LINKED_EC_ID,2
EC_LINE,X_EC_LINE_5,LINE_NO,3
ECN_REQ_PART_ALT,X_ECN_REQ_PART_ALT_0,ECN_ID,1
ECN_REQ_PART_ALT,X_ECN_REQ_PART_ALT_0,LINE_NO,2
ECN_REQ_PART_ALT,X_ECN_REQ_PART_ALT_0,ECN_ENTRY_NO,3
ECN_REQ_PART_ALT,X_ECN_REQ_PART_ALT_0,WORKORDER_SUB_ID,4
ECN_REQ_PART_ALT,X_ECN_REQ_PART_ALT_0,OPERATION_SEQ_NO,5
ECN_REQ_PART_ALT,X_ECN_REQ_PART_ALT_0,PIECE_NO,6
ECN_REQ_PART_ALT,X_ECN_REQ_PART_ALT_0,PART_ID,7
ECN_REQ_REF_DESIG,X_ECN_REQ_REF_DESIG_0,ECN_ID,1
ECN_REQ_REF_DESIG,X_ECN_REQ_REF_DESIG_0,LINE_NO,2
ECN_REQ_REF_DESIG,X_ECN_REQ_REF_DESIG_0,ECN_ENTRY_NO,3
ECN_REQ_REF_DESIG,X_ECN_REQ_REF_DESIG_0,WORKORDER_SUB_ID,4
ECN_REQ_REF_DESIG,X_ECN_REQ_REF_DESIG_0,OPERATION_SEQ_NO,5
ECN_REQ_REF_DESIG,X_ECN_REQ_REF_DESIG_0,PIECE_NO,6
ECN_REQ_REF_DESIG,X_ECN_REQ_REF_DESIG_0,ID,7
EQUIP_BILL_OPTIONS,X_EQB_OPTIONS_0,CUST_ORDER_ID,1
EQUIP_BILL_OPTIONS,X_EQB_OPTIONS_0,CUST_ORDER_LINE_NO,2
EQUIP_BILL_OPTIONS,X_EQB_OPTIONS_0,SEQ_NO,3
EQUIP_CALENDAR,X_EQB_CALENDAR_0,SITE_ID,1
EQUIP_CALENDAR,X_EQB_CALENDAR_0,RESOURCE_ID,2
EQUIP_CALENDAR,X_EQB_CALENDAR_0,DAY_OF_WEEK,3
EQUIP_PM_EXCEPTION,X_EQ_PM_EXCEPT_1,profile_id,1
EQUIP_PM_EXCEPTION,X_EQ_PM_EXCEPT_1,equip_id,2
EQUIP_PM_SCHEDULE,X_EQ_PM_SCHEDULE_0,job_id,1
EQUIP_PM_SCHEDULE,X_EQ_PM_SCHEDULE_0,profile_id,2
