ORDER_ID,OPERATION_SEQ_NO,PIECE_NO,PART_ID,CALC_QTY,QTY_PER,FIXED_QTY,REQUIRED_DATE,SITE_ID,QTY_ON_HAND
WO-070387,10,20,FGT0161-01,0.00000000,0.00000000,0.00000000,2026-04-15 00:00:00.000,MTM2,0.00000000
WO-070387,20,10,23-12742-005,25166.00000000,2.00000000,0.00000000,2026-05-05 07:50:00.000,MTM2,35916.00000000
WO-070387,20,20,FGT0162-01,0.00000000,0.00000000,0.00000000,2026-04-15 00:00:00.000,MTM2,0.00000000
WO-070421,10,10,MMF0005511,130.56000000,2.72000000,0.00000000,2026-05-15 17:20:00.000,MTM2,2448.00000000
WO-070421,90,10,962689,192.00000000,4.00000000,0.00000000,2026-05-15 21:10:00.000,MTM2,17182.00000000
WO-070421,96,10,190920,192.00000000,4.00000000,0.00000000,2026-05-15 22:10:00.000,MTM2,4742.00000000
WO-070422,10,10,MMF0005525,622.08000000,2.43000000,0.00000000,2026-05-01 11:10:00.000,MTM2,10695.00000000
WO-070422,90,10,963093,512.00000000,2.00000000,0.00000000,2026-05-01 20:30:00.000,MTM2,30615.00000000
WO-070429,10,10,MMC0000741,44333.73000000,11.17000000,0.00000000,2026-04-24 16:00:00.000,MTM2,70095.00000000
WO-070429,10,20,FGT1130-01,0.00000000,0.00000000,0.00000000,2026-04-16 00:00:00.000,MTM2,0.00000000
WO-070429,20,10,FGT1135-01,0.00000000,0.00000000,0.00000000,2026-04-16 00:00:00.000,MTM2,0.00000000
WO-070429,30,10,FGT1129-01,0.00000000,0.00000000,0.00000000,2026-04-16 00:00:00.000,MTM2,0.00000000
WO-070432,10,10,MMF0005010,2502.45000000,2.49000000,0.00000000,2026-04-17 00:00:00.000,MTM2,568.40000000
WO-070432,90,10,14M7233,1005.00000000,1.00000000,0.00000000,2026-04-20 20:50:00.000,MTM2,7121.00000000
WO-070432,90,20,RCG25,17.00000000,0.01670000,0.00000000,2026-04-20 20:50:00.000,MTM2,12.00000000
WO-070435,10,10,MMF0005531,7526.40000000,9.80000000,0.00000000,2026-05-07 03:30:00.000,MTM2,3232.00000000
WO-070435,20,10,RCG25,15.00000000,0.01850000,0.00000000,2026-05-07 11:10:00.000,MTM2,12.00000000
WO-070442,10,10,MMF0005525,216.00000000,7.20000000,0.00000000,2026-04-17 06:20:00.000,MTM2,10695.00000000
WO-070442,20,10,FGT0001-01,30.00000000,1.00000000,0.00000000,2026-05-29 07:20:00.000,MTM2,0.00000000
WO-070442,20,20,Tooling Not Ready,30.00000000,1.00000000,0.00000000,2026-05-29 07:20:00.000,MTM2,0.00000000
WO-070442,90,10,946829,120.00000000,4.00000000,0.00000000,2026-06-01 03:00:00.000,MTM2,891.00000000
WO-070454,10,10,MMC0000386,11395.93000000,0.13000000,0.00000000,2026-04-27 08:00:00.000,MTM2,11645.00000000
