TABLE_NAME,ROW_COUNT
OPER_TYPE_SYNC,0
OPERATION_AUDIT,0
OPERATION_SUMMARY,0
OPERATION_TYPE,0
PACKAGE_TYPE_SYNC,0
PALLET,0
PART_ALIAS,0
PART_ALIAS_TYPE,0
PART_ALTERNATE,0
PART_CROSS_SELLING,0
PART_PRICE_GROUP,0
PART_REPLENISHMENT,0
PART_SHIPPING,0
PART_SUBSTITUTE,0
PART_SYNC,0
PART_TRACE_LOCATION,0
PART_WHS_REPLENISH,0
PAYABLE_BINARY,0
PAYABLE_INST,0
PERIOD,0
PHYS_COUNT_LOC_ADJ,0
PHYS_INV_PIECES,0
PHYS_TRACE_COUNT,0
PLANNED_LOAD,0
PLANNING_BOM,0
PLANNING_CALENDAR,0
PLANNING_FORECAST,0
PLANNING_MPS,0
PLANNING_PART,0
PORT_OF_ARRIVAL,0
PORT_OF_TRANS,0
PRIORITY,0
PROBLEM_CLASS,0
PROCESS_ACTIVITY,0
PROCESS_TYPE,0
PROCESS_TYPE_LINE,0
PRODUCT_SYNC,0
PROJ_DIST_DETAIL,0
PROJ_INFO_BINARY,0
PROJ_SUMM_BURD_AMT,0
PROJECT_BASELINE,0
PROJECT_BATCH_LINK,0
PROJECT_BUDGET,0
PROJECT_CEILING,0
PROJECT_DIST,0
PROJECT_EAC_POC,0
PROJECT_ETC,0
PROJECT_GL_TRANS,0
PROJECT_INFO,0
PROJECT_STATUS,0
PROJECT_SUMMARY,0
PURC_CATEGORY_TYPE,0
PURC_LINE_TRC_CTL,0
PURC_ORDER_RFQ,0
PURC_ORDER_SYNC,0
PURC_REQ_BINARY,0
PURC_REQ_LINE_DEL,0
PURC_RFQ_REQ,0
PURCHASE_CONTRACT,0
QUOTE_LINE_BILLING,0
QUOTE_OPT_BINARY,0
QUOTE_ORDER,0
QUOTE_ORDER_LINE,0
QUOTE_PRICING_BIN,0
QUOTED_OPTIONS,0
RATE,0
RATE_DETAIL,0
RCR_GJ,0
