RESOURCE_ID,RESOURCE_DESCRIPTION,RESOURCE_TYPE,DEPARTMENT_ID,SCHEDULE_GROUP_ID,SCHEDULE_NORMALLY,OPERATION_ROW_COUNT,DISTINCT_WORK_ORDERS,DISTINCT_SEQUENCES,FIRST_SCHED_START_DATE,LAST_SCHED_FINISH_DATE
100-GRP,Small Press Coil Fed,G,NULL,NULL,Y,9363,7534,7535,2007-10-24 00:00:00.000,2036-10-02 16:10:00.000
100-GRP1,1ST SHIFT,G,NULL,NULL,Y,233,233,233,2010-11-18 23:50:00.000,2012-05-30 23:50:00.000
100-GRP2,Large Press,G,NULL,NULL,Y,699,587,699,2007-10-25 21:10:00.000,2012-05-31 23:50:00.000
100-GRP3,Small Press Hand Transfer,G,NULL,NULL,Y,0,0,1,NULL,NULL
101-01,Orbital Riveter,W,NULL,NULL,Y,2,2,2,2025-06-12 00:10:00.000,2025-06-19 00:00:00.000
101-02,Orbital Riveter,W,NULL,NULL,Y,0,0,1,NULL,NULL
105-01,Press Room - Press Feeder (DCR),W,NULL,NULL,Y,0,0,1,NULL,NULL
105-02,Press Room - Straighter Machine,W,NULL,NULL,N,1,1,1,NULL,NULL
105-03,Press Room - Press Feeder (Stock Reel),W,NULL,NULL,Y,0,0,1,NULL,NULL
105-04,Press Room - Coil Handler,W,NULL,NULL,N,0,0,1,NULL,NULL
105-05,Press Room - Press Feeder (DJR),W,NULL,NULL,Y,0,0,1,NULL,NULL
105-06,Press Room - Restrictor Arm (PTR),W,NULL,NULL,N,0,0,1,NULL,NULL
105-07,Press Room - Straightener (DPS),W,NULL,NULL,Y,0,0,1,NULL,NULL
105-08,Press Room - Coil Handling System,W,NULL,NULL,N,1,1,1,NULL,NULL
105-1807A,Press Room - Feeder,W,NULL,NULL,Y,0,0,1,NULL,NULL
105-1807B,Press Room - Straightener,W,NULL,NULL,Y,1,1,1,NULL,NULL
105-1807C,Press Room - Coil Handling Reel,W,NULL,NULL,Y,0,0,1,NULL,NULL
109-01,Oven (Electra),W,NULL,NULL,Y,0,0,1,NULL,NULL
110-01,Heat Treat,W,NULL,NULL,N,123,123,123,2019-11-04 12:10:00.000,2026-04-17 19:10:00.000
110-GRP,Heat Treat Group,G,NULL,NULL,Y,9,9,9,2008-05-05 00:00:00.000,2010-08-30 00:00:00.000
120-01,PEMSERTER® Series 4 Auto Feeder,W,NULL,NULL,N,263,254,261,2019-10-04 07:10:00.000,2026-05-31 23:40:00.000
