TABLE_NAME,TRIGGER_NAME,TYPE_DESC,IS_INSTEAD_OF_TRIGGER,IS_DISABLED,TRIGGER_EVENT
OPERATION,DELETE_OPERATION,SQL_TRIGGER,NO,NO,DELETE
OPERATION,INSERT_OPERATION,SQL_TRIGGER,NO,NO,INSERT
OPERATION,UPDATE_OPERATION,SQL_TRIGGER,NO,NO,UPDATE
OPERATION_TYPE,UPDATE_OPERATION_TYPE,SQL_TRIGGER,NO,NO,UPDATE
PART,DELETE_PART,SQL_TRIGGER,NO,NO,DELETE
PART,INSERT_PART,SQL_TRIGGER,NO,NO,INSERT
PART,UPDATE_PART,SQL_TRIGGER,NO,NO,UPDATE
PART_LOCATION,DELETE_PART_LOCATION,SQL_TRIGGER,NO,NO,DELETE
PART_LOCATION,INSERT_PART_LOCATION,SQL_TRIGGER,NO,NO,INSERT
PART_LOCATION,UPDATE_PART_LOCATION,SQL_TRIGGER,NO,NO,UPDATE
PART_SITE,DELETE_PART_SITE,SQL_TRIGGER,NO,NO,DELETE
PART_SITE,INSERT_PART_SITE,SQL_TRIGGER,NO,NO,INSERT
PART_SITE,UPDATE_PART_SITE,SQL_TRIGGER,NO,NO,UPDATE
PART_UNITS_CONV,INSERT_PART_UNITS_CONV,SQL_TRIGGER,NO,NO,INSERT
PART_UNITS_CONV,UPDATE_PART_UNITS_CONV,SQL_TRIGGER,NO,NO,UPDATE
PART_WAREHOUSE,INSERT_PART_WAREHOUSE,SQL_TRIGGER,NO,NO,INSERT
PAYABLE,DELETE_PAYABLE,SQL_TRIGGER,NO,NO,DELETE
PAYABLE,INSERT_PAYABLE,SQL_TRIGGER,NO,NO,INSERT
PAYABLE,UPDATE_PAYABLE,SQL_TRIGGER,NO,NO,UPDATE
PAYABLE_DIST,INSERT_PAYABLE_DIST,SQL_TRIGGER,NO,NO,INSERT
PAYABLE_DIST,UPDATE_PAYABLE_DIST,SQL_TRIGGER,NO,NO,UPDATE
