TABLE_NAME,INDEX_NAME,INDEX_TYPE,IS_UNIQUE,IS_PRIMARY_KEY,COLUMN_NAME,KEY_ORDINAL,IS_INCLUDED_COLUMN
V_BRANCH,X_V_BRANCH_0,CLUSTERED,YES,YES,ID,1,NO
V_BUSINESS_UNIT,X_V_BUSINESS_UNIT_0,CLUSTERED,YES,YES,ID,1,NO
V_CAL_BINARY,X_V_CAL_BINARY_0,CLUSTERED,YES,YES,CAL_ID,1,NO
V_CAL_BINARY,X_V_CAL_BINARY_0,CLUSTERED,YES,YES,TYPE,2,NO
V_CAL_CONTACT,X_V_CAL_CONTACT_0,CLUSTERED,YES,YES,CAL_ID,1,NO
V_CAL_CONTACT,X_V_CAL_CONTACT_0,CLUSTERED,YES,YES,CONTACT_ID,2,NO
V_CALENDAR,X_V_CALENDAR_0,CLUSTERED,YES,YES,ID,1,NO
V_CALENDAR,X_V_CALENDAR_1,NONCLUSTERED,NO,NO,START_DATE,1,NO
V_CALENDAR,X_V_CALENDAR_2,NONCLUSTERED,NO,NO,ACCT_ID,1,NO
V_CALENDAR,X_V_CALENDAR_3,NONCLUSTERED,NO,NO,CONTACT_ID,1,NO
V_CALL,X_V_CALL_0,CLUSTERED,YES,YES,ID,1,NO
V_CALL,X_V_CALL_1,NONCLUSTERED,NO,NO,ACCT_ID,1,NO
V_CALL_BILL_RATE,X_V_CLBILLRATE_0,CLUSTERED,YES,YES,ID,1,NO
V_CALL_BINARY,X_V_CALL_BINARY_0,CLUSTERED,YES,YES,CALL_ID,1,NO
V_CALL_BINARY,X_V_CALL_BINARY_0,CLUSTERED,YES,YES,TYPE,2,NO
V_CALL_ISS_BINARY,X_V_CALL_ISS_BINARY_0,CLUSTERED,YES,YES,CALL_ID,1,NO
V_CALL_ISS_BINARY,X_V_CALL_ISS_BINARY_0,CLUSTERED,YES,YES,ISSUE_NO,2,NO
V_CALL_ISS_BINARY,X_V_CALL_ISS_BINARY_0,CLUSTERED,YES,YES,TYPE,3,NO
V_CALL_ISS_KEY,X_V_CALL_ISS_KEY_0,CLUSTERED,YES,YES,CALL_ID,1,NO
V_CALL_ISS_KEY,X_V_CALL_ISS_KEY_0,CLUSTERED,YES,YES,ISSUE_NO,2,NO
V_CALL_ISS_KEY,X_V_CALL_ISS_KEY_0,CLUSTERED,YES,YES,KEY_NO,3,NO
V_CALL_ISSUE,X_V_CALL_ISSUE_0,CLUSTERED,YES,YES,CALL_ID,1,NO
V_CALL_ISSUE,X_V_CALL_ISSUE_0,CLUSTERED,YES,YES,LINE_NO,2,NO
V_CALL_RES_BINARY,X_V_CALL_RES_BINARY_0,CLUSTERED,YES,YES,CALL_ID,1,NO
V_CALL_RES_BINARY,X_V_CALL_RES_BINARY_0,CLUSTERED,YES,YES,ISSUE_NO,2,NO
V_CALL_RES_BINARY,X_V_CALL_RES_BINARY_0,CLUSTERED,YES,YES,RESOLUTION_NO,3,NO
V_CALL_RES_BINARY,X_V_CALL_RES_BINARY_0,CLUSTERED,YES,YES,TYPE,4,NO
V_CALL_RES_KEYS,X_V_CALL_RES_KEYS_0,CLUSTERED,YES,YES,CALL_ID,1,NO
V_CALL_RES_KEYS,X_V_CALL_RES_KEYS_0,CLUSTERED,YES,YES,ISSUE_NO,2,NO
V_CALL_RES_KEYS,X_V_CALL_RES_KEYS_0,CLUSTERED,YES,YES,RESOLUTION_NO,3,NO
V_CALL_RES_KEYS,X_V_CALL_RES_KEYS_0,CLUSTERED,YES,YES,KEY_NO,4,NO
V_CALL_RESOLUTION,X_V_CALL_RESOLUTION_0,CLUSTERED,YES,YES,CALL_ID,1,NO
V_CALL_RESOLUTION,X_V_CALL_RESOLUTION_0,CLUSTERED,YES,YES,ISSUE_NO,2,NO
V_CALL_RESOLUTION,X_V_CALL_RESOLUTION_0,CLUSTERED,YES,YES,LINE_NO,3,NO
V_CATEGORY,X_V_CATEGORY_0,CLUSTERED,YES,YES,ID,1,NO
V_CATEGORY,X_V_CATEGORY_0,CLUSTERED,YES,YES,KEYWORD_ID,2,NO
V_COMMIS_SHARE,X_V_COMMIS_SHARE_0,CLUSTERED,YES,YES,ID,1,NO
V_COMMIS_SHARE,X_V_COMMIS_SHARE_0,CLUSTERED,YES,YES,SALESREP_ID,2,NO
V_COMMIS_SHARE,X_V_COMMIS_SHARE_0,CLUSTERED,YES,YES,TYPE,3,NO
V_COMMIS_SHARE,X_V_COMMIS_SHARE_0,CLUSTERED,YES,YES,TYPE_ID,4,NO
V_CONTACT,X_V_CONTACT_0,CLUSTERED,YES,YES,ID,1,NO
V_CONTACT,X_V_CONTACT_1,NONCLUSTERED,NO,NO,ACCT_ID,1,NO
V_CONTACT,X_V_CONTACT_2,NONCLUSTERED,NO,NO,BUS_PHONE,1,NO
V_CONTACT_BINARY,X_V_CONTACT_BINARY_0,CLUSTERED,YES,YES,CONTACT_ID,1,NO
V_CONTACT_BINARY,X_V_CONTACT_BINARY_0,CLUSTERED,YES,YES,TYPE,2,NO
V_CONTACT_PREF,X_V_CONTACT_PREF_0,CLUSTERED,YES,YES,ID,1,NO
V_CONTR_ADDR,X_V_CONTR_ADDR_0,CLUSTERED,YES,YES,ADDR_ID,1,NO
V_CONTR_ADDR,X_V_CONTR_ADDR_0,CLUSTERED,YES,YES,CONTR_ID,2,NO
V_CONTR_BILLING,X_V_CONTRBILL_0,CLUSTERED,YES,YES,CONTR_ID,1,NO
V_CONTR_BILLING,X_V_CONTRBILL_0,CLUSTERED,YES,YES,EVENT_SEQ_NO,2,NO
V_CONTR_BINARY,X_V_CONTR_BINARY_0,CLUSTERED,YES,YES,CONTR_ID,1,NO
V_CONTR_BINARY,X_V_CONTR_BINARY_0,CLUSTERED,YES,YES,TYPE,2,NO
V_CONTR_CHARGE,X_V_CONTR_CHARGE_0,CLUSTERED,YES,YES,ID,1,NO
V_CONTR_CONT,X_V_CONTR_CONT_0,CLUSTERED,YES,YES,CONTR_ID,1,NO
