ORDER_ID,OPERATION_SEQ_NO,PIECE_NO,PART_ID,CALC_QTY,QTY_PER,FIXED_QTY,REQUIRED_DATE,SITE_ID,QTY_ON_HAND
WO-071218,10,10,1219924,15164.00000000,2.00000000,0.00000000,2026-06-16 15:00:00.000,MTM2,5400.00000000
WO-071218,10,20,08037424001,7582.00000000,1.00000000,0.00000000,2026-06-16 15:00:00.000,MTM2,5501.00000000
WO-071220,96,10,24436406-Main,150.00000000,1.00000000,0.00000000,2026-05-29 15:40:00.000,MTM2,111.00000000
WO-071220,96,20,24436406-Sub-L,150.00000000,1.00000000,0.00000000,2026-05-29 15:40:00.000,MTM2,359.00000000
WO-071220,96,30,24436406-Sub-R,150.00000000,1.00000000,0.00000000,2026-05-29 15:40:00.000,MTM2,309.00000000
WO-071222,10,10,MMC0000973,10668.00000000,3.81000000,0.00000000,2026-06-11 19:00:00.000,MTM2,10940.00000000
WO-071223,10,10,MMC0001146,86284.00000000,8.14000000,0.00000000,2026-06-10 23:00:00.000,MTM2,86435.00000000
WO-071225,10,10,MMC0000760,28811.30000000,5.21000000,0.00000000,2026-06-11 05:40:00.000,MTM2,28810.00000000
WO-071226,10,10,MMC0000762,432.00000000,0.24000000,0.00000000,2026-06-11 19:00:00.000,MTM2,3200.00000000
WO-071228,10,10,MMC0000082,23014.50000000,0.67000000,0.00000000,2026-06-05 16:20:00.000,MTM2,23020.00000000
WO-071228,10,20,23-12729-008,34350.00000000,1.00000000,0.00000000,2026-06-05 16:20:00.000,MTM2,307947.00000000
WO-071230,19,10,MMC0000732,9690.00000000,0.57000000,0.00000000,2026-06-02 21:20:00.000,MTM2,34748.00000000
WO-071231,19,10,MMC0000731,29200.00000000,1.46000000,0.00000000,2026-05-29 00:00:00.000,MTM2,56117.18000000
WO-071232,10,10,MMC0000339,1352.00000000,0.65000000,0.00000000,2026-06-03 00:00:00.000,MTM2,10175.00000000
WO-071233,10,10,MMC0000339,4860.00000000,0.81000000,0.00000000,2026-06-01 23:00:00.000,MTM2,10175.00000000
WO-071234,29,10,104410-01,12960.00000000,9.00000000,0.00000000,2026-05-29 00:30:00.000,MTM2,-325.00000000
